input,german
"Anti abortion advocates have countered that the measures aim to protect women's health , though some have also lauded their effect of shuttering clinics .","Abtreibungsgegner halten dem entgegen , dass die Maßnahmen dem Schutz der Gesundheit der Frauen dienen , obwohl einige auch die Auswirkungen einer Schließung von Kliniken begrüßten ."
"Only one doctor who performs abortions in Louisiana has hospital admitting privileges , the Center for Reproductive Rights said .","Nur ein Arzt , der in Louisiana Abtreibungen durchführt , verfügt über Patienteineinweiserechte , teilte das Zentrum für Reproduktionsrechte mit ."
"If all other doctors in the state are forced to stop performing abortions , that doctor , fearful for his safety , would stop carrying out the procedure , the group said .","Wenn alle übrigen Ärzte im Staat dazu gezwungen werden , keine Abtreibungen mehr durchzuführen , würde dieser Arzt aus Angst um seine Sicherheit die Operation nicht mehr durchführen , sagte die Gruppe ."
"In arguing against the ruling , Louisiana officials said they would not punish doctors performing abortions while their applications for admitting privileges were pending .","Bei ihrer Argumentation gegen das Urteil sagten Vertreter des Staates Louisiana , dass sie keine Ärzte wegen der Durchführung von Abtreibungen bestrafen würden , während deren Anträge auf Patienteneinweiserechte noch anhängig wären ."
Delayed diagnosis and inability to access best treatment mean ovarian cancer kills more in rural areas,Verzögerte Diagnosen und mangelnder Zugang zu den besten Behandlungsmöglichkeiten führen zu höheren Todesraten durch Eierstockkrebs in ländlichen Gebieten .
Angelina Jolie and her brother James have posted a video tribute to their late mother who died of Ovarian cancer in 2007 .,"Angelina Jolie und ihr Bruder James haben eine Videohommage für ihre Mutter online gestellt , die 2007 an Eierstockkrebs verstarb ."
Women living in rural Australia are at higher risk of dying from ovarian cancer than their city counterparts .,"Für Frauen in den ländlichen Gebieten Australiens besteht ein höheres Risiko , an Eierstockkrebs zu sterben , als für Frauen in Städten ."
"Researchers analysed medical records of more than 1100 Australian women diagnosed with ovarian cancer in 2005 , finding just 35 per cent lived for five years after diagnosis .","Forscher analysierten die medizinischen Daten von mehr als 1100 Australierinnen , bei denen 2005 Eierstockkrebs festgestellt wurde , und stellten fest , dass lediglich 25 Prozent fünf Jahre nach der Diagnose noch am Leben waren ."
"SMALL STUDY : New drugs may slow lung , ovarian cancer",KLEINE STUDIE : Neue Arzneimittel könnten Lungen- und Eierstockkrebs verlangsamen
The researchers tracked the women's medical journeys across seven years .,Die Forscher untersuchten die medizinische Versorgung der Frauen über sieben Jahre .
"Dr Jordan said a woman's age at the time of diagnosis , ovarian cancer type , having existing illnesses and socio economic status also impacted on survival chances .","Dr. Jordan sagte , dass das Alter einer Frau bei der Diagnose , der Typ des Eierstockkrebses , bestehende Vorerkrankungen sowie der soziale und wirtschaftliche Status ebenfalls die Überlebenschancen beeinflussten ."
Older women and those whose cancer was more advanced at the time of diagnosis had the poorest survival rates .,"Für ältere Frauen und diejenigen , deren Krebs zum Diagnosezeitpunkt bereits weiter fortgeschritten war , lag die Überlebensrate am niedrigsten ."
Those living in regional and remote areas of the state were about 20 per cent more likely to die during the study than those in urban areas .,"Für diejenigen , die in ländlichen und abgelegenen Regionen des Staates lebten , lag das Sterblichkeitsrisiko während der Studie um 20 Prozent höher als für diejenigen in Stadtgebieten ."
"This disease is best treated by gynaecological oncology surgeons and they're mostly based in major cities , she said .","Diese Krankheit wird am besten von gynäkologischen Onkologen behandelt , und diese sind meistens in größeren Städten zu finden ,sagte sie ."
"The research , funded by the Rio Tinto Ride to Conquer cancer , will be published today in the Medical Journal of Australia .",Die von Rio Tinto Ride to Conquer Cancer finanzierte Studie wird heute im Medical Journal of Australia veröffentlicht .
"In March 2012 , at 33 years of age , young Gold Coast mum Elisha Neave was told that she had an aggressive form of ovarian cancer .","Im März 2013 erfuhr Elisha Neave , eine junge Mutter von 33 Jahren von der Goldküste , dass sie eine aggressive Form von Eierstockkrebs hatte ."
Garden centres rue fall in homeowners,Gartenzentren bedauern sinkende Hausbesitzerzahlen
"According to the report , people renting properties spend an average of 55 per cent of the amount that those with their own homes spend on their gardens .","Der Bericht besagt , dass Mieter durchschnittlich 55 Prozent des Betrages ausgeben , die Menschen mit Eigenheim für ihren Garten ausgeben ."
"Greater London , where home ownership has fallen from 61 per cent to 43 per cent in six years , has Britain's lowest spend per household on gardening products .","Im Großraum London , in dem über einen Zeitraum von 6 Jahren der Anteil an Hauseigentümern von 61 auf 43 Prozent gefallen ist , werden die geringsten Ausgaben für Gartenprodukte pro Haushalt vermeldet ."
The HTA and Royal Horticultural Society said that renting property or a lack of garden space did not mean people could not grow plants .,"Die HTA und die Royal Horticultural Society weisen darauf hin , dass Wohnen zur Miete oder kleine Gärten nicht bedeuten , dass die Menschen keine Pflanzen ziehen können ."
"Guy Barter , chief horticultural adviser to the RHS , said :; Container gardening , for example , is especially popular with renters who can move their plants when they relocate .;","Guy Barter , Chefgartenberater für die RHS sagte :; Container Gärtnern ist beispielsweise bei Mietern sehr beliebt , weil sie ihre Pflanzen bei einem Umzug mitnehmen können .;"
It also predicted an improved market this year due to better weather following unfavourable conditions in March and April last year .,Er prognostizierte für dieses Jahr außerdem eine verbesserte Marktsituation wegen des besseren Wetters nach unfreundlichen Wetterbedingungen im März und April letzten Jahres .
"In Pakistan , the protest movement led by political opponent , Imran Khan , and the spiritual leader , Tahirul Qadri , continues .",Die vom Oppositionspolitiker Imran Khan und dem Geistlichen Tahirul Qadri angeführte Protestbewegung in Pakistan geht weiter .
"In the capital, Islamabad, around 1,000 demonstrators stormed the state television station PTV.",In der Hauptstadt Islamabad haben rund 1000 Demonstranten den staatlichen Fernsehsender PTV gestürmt .
"The TV station stopped broadcasting for approximately 40 minutes , but has since begun to broadcast again .","Der Sender stellte seinen Betrieb für rund 40 Minuten ein , sendet inzwischen aber wieder ."
"At the same time , around 3000 demonstrators attempted to reach the official residency of Prime Minister Nawaz Sharif .","Gleichzeitig versuchten rund 3000 Demonstranten , zur Residenz von Premierminister Nawaz Sharif zu gelangen ."
"Approximately one kilometre away , they clashed with security security services , armed with sticks and stones .",Rund einen Kilometer entfernt davon lieferten sie sich mit Stöcken und Steinen ausgerüstet Zusammenstöße mit Sicherheitskräften .
The police used tear gas .,Die Polizei setzte Tränengas ein .
"The demonstrators demanded Sharif's resignation , which he refused .","Die Demonstranten forderten Sharifs Rücktritt , dieser lehnt das aber ab ."
The Pakistan Army called for a political solution to the conflict; without delay and without resorting to violence .;,"Die Armee des Landes mahnt derweil zu einer politischen Lösung des Konflikts ,; ohne Zeit zu verschwenden und ohne Gewalt anzuwenden; ."
"Following a meeting at its headquarters on Sunday evening , the military announced :; The Army remains committed to its task of ensuring security for the State; .","Nach einer Sitzung im Hauptquartier am Sonntagabend teilte das Militär mit :; Die Armee bleibt ihrer Rolle verpflichtet , die Sicherheit des Staates zu gewährleisten; ."
The military plays an important role in Pakistan and has taken power by force several times in the past .,Das Militär spielt in Pakistan eine wichtige Rolle und hat bereits häufiger geputscht .
"The opposition politician , Imran Khan , accuses Prime Minister Sharif of rigging the parliamentary elections , which took place in May last year .","Der Oppositionspolitiker Imran Khan wirft Premier Sharif vor , bei der Parlamentswahl im Mai vergangenen Jahres betrogen zu haben ."
"The protests escalated at the weekend , after Khan and Qadri called on their followers to advance to Sharif's residence .","Die Proteste waren am Wochenende eskaliert , nachdem Khan und Qadri ihre Anhänger dazu aufgerufen hatten , zu Sharifs Residenz vorzudringen ."
There were three people killed .,Dabei waren drei Menschen getötet worden .
Turkey Summons US Diplomat Over Spying Report,Türkei bestellt US Diplomat wegen Spionageberichts ein
The Turkish foreign ministry has summoned the most senior U.S. diplomat in the country for clarification of a report about American and British spying in Turkey .,Das türkische Außenministerium hat den dienstältesten US Diplomaten des Landes zu Auskünften eines Berichts über amerikanische und britische Spionage in der Türkei einbestellt .
Deputy Prime Minister Bulent said the U.S. charge d'affaires and Turkish officials had discussed the report Monday .,"Vizepremierminister Bülent sagte , dass der Geschäftsträger der US Botschaft und türkische Beamte den Bericht am Montag besprochen hatten ."
"According to Turkish news wires , Turkish President Recep Tayyip Erdogan downplayed the importance of the report , saying that all major countries spied on each other .","Nach Angaben türkischer Nachrichtenagenturen spielte der türkische Präsident Recep Tayyip Erdogan die Wichtigkeit des Berichts herunter und sagte , dass alle wichtigen Länder sich gegenseitig ausspionierten ."
An earlier report that Germany's main intelligence agency had also targeted Ankara drew a more angry response from the Turkish government .,"Ein früherer Bericht , dass auch der wichtigste Geheimdienst Deutschlands Ankara im Visier hatte , sorgte für deutlich verärgertere Reaktionen der türkischen Regierung ."
"Warning strike : Train drivers threaten to strike , causing problems for commuters",Warnstreik : Lokführer drohen mit Folgen für Pendler
The nationwide waning strike made by train drivers on Monday evening could also have a negative impact on passenger services in NW .,Der bundesweite Warnstreik der Lokführer am Montagabend könnte auch den Personenverkehr in NRW beeinträchtigen .
The brunt of the strike will affect the transport of goods .,Die Hauptstoßrichtung des Warnstreiks ist der Güterverkehr .
Image : A. Burgi / Archive,Foto : A. Burgi / Archiv
"according to the announcement made in Düsseldorf by the district chairperson for the union of German train drivers ( GDL ) , Sven Schmitte .","sagte der Bezirksvorsitzende der Gewerkschaft Deutscher Lokomotivführer ( GDL ) , Sven Schmitte , in Düsseldorf ."
We are expecting there to be a significant amount of cancellations .,Wir rechnen mit erheblichen Ausfällen .
We are not targeting any regions .,Regionale Schwerpunkte gebe es nicht .
The brunt of the strike will affect the transport of goods .,Die Hauptstoßrichtung des Warnstreiks sei der Güterverkehr .
Deutsch Bahn in NW has announced that they will do everything they can to ensure disruptions are kept to a minimum .,"Die Deutsche Bahn in NRW kündigte an , alles zu tun , um die Auswirkungen möglichst gering zu halten ."
"The GDL have not said , however , where they will strike , making it difficult to predict exactly what the consequences will be .","Die GDL habe jedoch nicht gesagt , wo sie streiken wolle , so dass es schwer sei , die Folgen konkret vorherzusehen ."
Magaluf police chief charged over corruption,Polizeichef von Magaluf der Korruption angeklagt
The claimants presented proof of extortion by policemen and Calvià Town Hall civil servants at Mallorca's public prosecutor's office on Friday .,Die Ankläger legten am Freitag dem Büro des Staatsanwaltes von Mallorca Beweise für Erpressungen durch Polizisten und Angestellte der Stadt Calvià vor .
Two other local police officers were arrested by Spanish Civil Guards in connection to the corruption claims and will have to be questioned by a judge alongside Navarro .,Zwei weitere Ortspolizisten wurden von der spanischen Guardia Civil in Verbindung mit den Korruptionsvorwürfen festgenommen und werden gemeinsam mit Navarro von einem Richter befragt .
Spanish national daily ABC reported the disgruntled nightclub owners as saying favouritism by authorities was having a serious effect on their businesses .,"Die nationale spanische Tageszeitung ABC berichtete , dass die verärgerten Nachtklubbesitzer aussagten , die Vetternwirtschaft der Behörden habe schwerwiegende Auswirkungen auf ihre Geschäfte ."
"It's not about making money anymore , it's about surviving ,; one of the businessmen told the court .","Es geht nicht mehr ums Geldverdienen , es geht ums Überleben ,; sagte einer der Geschäftsleute dem Gericht ."
You don't mess with our livelihoods .,Lasst unsere Lebensgrundlage aus dem Spiel .
We have nothing to lose .,Wir haben nichts zu verlieren .
Magaluf made international headlines this summer as a result of a viral YouTube video which showed an 18 year old British holidaymaker performing fellatio on 24 men during a pub crawl .,"Magaluf machte in diesem Sommer aufgrund eines viralen YouTube Videos internationale Schlagzeilen , in dem ein 18jähriger britischer Tourist gezeigt wurde , der an 24 Männern während einer Sauftour Fellatio vollzog ."
