,id,input,highlights,,,,,,,,,,,,,,,,
2087,48b70b1239bc5870c895afae82edc474e7dcff3a,"A New York teen who lost everything in Hurricane Sandy has been accepted to seven Ivy League schools. Daria Rose, 18, immersed herself in her studies after she and her family lost everything -- including their home -- when the superstorm hit in October 2012. And after a difficult high school experience, the 18-year-old has a bright future ahead of her. The Hempstead teen has been accepted into all seven of the Ivy League schools she applied to, ABC news reports. Scroll down for video . Acceptance: New York teen Daria Rose (photographed) lost everything in Hurricane Sandy and was recently accepted to seven Ivy League schools . Dreams: The frequent moves Rose and her family underwent after the superstorm made finishing school work difficult for Rose, but she never gave up on her dream of attending an Ivy League school . 'I was like, oh my God, I just got into Harvard,' Rose told ABC 7. 'Then I checked Princeton, and I was like, oh my God I, just got into Princeton. And I checked Brown, I got in. It just kept going and going.' Rose did not apply to Columbia, according to ABC. Rose and her family lived in several hotels as well as her grandmother's house after being forced to evacuate their home in Baldwin, which was destroyed, ABC News reports. After more than a year, the family moved into a new home in Baldwin. Although the frequent moves made finishing school work difficult, Rose said, she never gave up on her dream of attending an Ivy League school. 'I was living in these small spaces but in my head I was able to escape,' Rose said 'find myself in a literary world.' Rose wrote about her Hurricane Sandy experience in a college application essay in which she talked about the storm and how reading helped her cope. Secure: A college essay about her experience helped Rose to secure a spot in Yale, Harvard, Princeton, Dartmouth, University of Pennsylvania, Cornell, and Brown . Blessing: Rose's mother, Katrina Brooks (left), said that the family's experience turned out to be a blessing because the teen had something substantial to write to the schools' admissions offices . The essay helped the Sacred Heart Academy student secure a spot in Yale, Harvard, Princeton, Dartmouth, University of Pennsylvania, Cornell, and Brown. 'After moving so much and meeting so many different people, I learned I can adapt and adjust to all these different situations and people,' Rose told ABC 7. Rose's mother, Katrina Brooks, said that the family's experience turned out to be a blessing because it provided the teen with something substantial to write to the schools' admissions offices. 'It's easy to say 'I'm just going to lay here in a ball and cry and wallow in my own self pity,'' Brooks said. 'I'd make sure she'd get up and put one foot in front of the other.' Destroyed: Rose and her family lived in several hotels as well as her grandmother's house after being forced to evacuate their home in Baldwin (photographed), which was destroyed . New Home: After more than a year, the family moved into a new home in Baldwin (photographed is wreckage of Rose's home following the storm) While Rose said she had always leaned toward Yale, in her junior year of high school, she began looking at other options and decided to apply to the seven schools. Rose applied to seven of the eight Ivy League schools and, on March 31, the schools posted their decisions online, according to ABC. 'They're all such great schools,' Rose said. '[I'll] try to see where I'll fit in the best.' Rose said she plans to study political science and Russian literature. She has until May 1 to decided where she will attend.","New York teen Daria Rose lost everything in Hurricane Sandy and was recently accepted to seven Ivy League schools .
Rose and her family lived in multiple hotels and at her grandmother's house for a year and a half after the 2012 superstorm .
In a college application essay, Rose spoke of her Hurricane Sandy experience .",,,,,,,,,,,,,,,,
9576,1eb9bc47253906f489dbcbc570246077dd7fbfac,"Jerusalem is a city that conjures up a sense of the holy, the historical and heavenly. The biblical city has been a magnet for pilgrims devoted to several of the world's faiths and religions, notably Jews, Christians and Muslims. Millions flock to the ancient, religious city every year. But for a small percentage, their excitement induced by their close proximity to  holy landmarks invokes a rare condition known as Jerusalem syndrome. First identified in 2000,  psychologists noted religious pilgrims overcome with excitement at being in close proximity to the city's holy places believed they were Biblical characters. It is characterised by anxiety, agitation and nervousness. And sufferers are often consumed by a need to be clean, before donning a toga-like gown often made from hotel bed linen. Jerusalem syndrome affects people visiting the holy city. It is characterised by seven stages, including anxiety, the need to be clean and performing sermons . The next stage sees sufferers overcome by the need to scream, or sing out loud psalms, verses from the Bible, religious hymns or spirituals. A procession or march to one of the city's holy places, is then finally followed by the delivery of a 'sermon'. The condition, which was first reported in 2000, often affects people with no history of mental health problems, LiveScience reports. However, in many other cases, experts believe the condition is likely part of a broader psychosis, that is not unique to Jerusalem. Simon Rego, director of psychology training at the Albert Einstein College of Medicine/Montefiore Medical Centre in New York, told LiveScience: 'You see things like this emerge periodically in the literature, where people think they have found a unique syndrome.' But, he said, it may simply be the result of an underlying mental illness. A study, published in the British Journal of Psychiatry, noted that since 1980, Jerusalem's psychiatrists had encountered an ever-increasing number of tourists who, upon arriving in the city 'suffer psychotic decompensation'. A study published in the British Journal of Psychology identified seven sequential stages of Jerusalem syndrome: . 1. Anxiety, agitation, nervousness and tension, and other unspecified reactions. 2. Declaration of the desire to split away from the group or the family and to tour Jerusalem alone. Tourist guides aware of the Jerusalem syndrome and of the significance of such declarations may at this point refer the tourist to our institution for psychiatric evaluation in an attempt to pre-empt the subsequent stages of the syndrome. 3. A need to be clean and pure, an obsession with taking baths and showers and compulsive fingernail and toenail cutting. 4. Preparation, often with the aid of hotel bed linen, of a long, ankle-length, togalike gown, which is always white. 5. The need to scream, shout, or sing out loud psalms, verses from the Bible, religious hymns or spirituals. Manifestations of this type serve as a warning to hotel personnel and tourist guides, who should then attempt to have the tourist taken for professional treatment. Failing this, the two last stages will develop. 6. A procession or march to one of Jerusalem's holy places. 7. Delivery of a 'sermon' in a holy place. The sermon is usually very confused and based on an unrealistic plea to humankind to adopt a more wholesome, moral, simple way of life. As a result of noting 'the consistently high incidence of this phenomenon', a decision was taken to channel all cases to one central facility - the Kfar Shaul Mental Health Centre. There patients received psychological counselling, psychiatric intervention and, if deemed necessary, admission to hospital. Over a 13-year period, from 1980 to 1993, 1,200 tourists with severe mental illness invoked by Jerusalem, were referred to the facility. Of these, 470 were admitted to hospital. On average, the study found 100 such tourists were seen by experts annually, with 40 a year requiring admission to hospital. Through the course of their study, the researchers identified three types of people affected by Jerusalem syndrome. The first included individuals already diagnosed as having a mental health illness before visiting Israel. Those patients were found to strongly identify with characters from the Old and New Testament. The study referenced one example of an American tourist suffering paranoid schizophrenia, who believed he was the biblical character Samson. He visited Israel because he was compelled to move one of the giant stone blocks forming the Western (Wailing) Wall which, in his opinion, was not in the right place. On arriving at the Western Wall, he attempted to move one of the stones. But his actions instigated a commotion, which resulted in his being admitted to the Kfar Shaul Mental Health Centre. The second group includes those people with personality disorders and obsessions with fixed ideas, but who do not have a clear mental illness. Researchers cited the case of a healthy German man who was obsessed with finding the 'true' religion, and travelled to Jerusalem to study Judaism. He ended up suffering a psychotic episode in the Church of the Holy Sepulchre, built on the site where Jesus is believed to have been crucified and buried. Three types of patient were identified, the first group being those with already underlying mental illness. One example was of an American tourist suffering paranoid schizophrenia, who believed he was the biblical character Samson. He visited Israel because he was compelled to move one of the giant stone blocks forming the Western (Wailing) Wall, pictured, which, in his opinion, was not in the right place . And the third type of patient, identified in the study, were those with no history of mental illness, but who experienced a psychotic episode while in the city. This group recovered spontaneously after leaving Israel. of the 1,200 patients examined, just 42 fell into the third category. Despite the study, the notion of Jerusalem has been condemned by a number of experts. Dr Alan Manevitz, of New York's Lenox Hill Hospital, told LiveScience he believes the condition may happen when a person who is at risk of psychosis experiences the stress of travelling to another country. 'I think what happens is, vulnerable people can be inspired by the circumstances around them,' he said. Dr Rego, agreed the condition may not be unique to Jerusalem. 'If it was purely causal, you would expect everybody who visits Jerusalem to get it,' he said.","Experts first identified the rare condition in 2000, noting seven symptoms .
Sufferers first appear anxious and agitated and are consumed by a need to be clean before donning a toga-like gown often made from bed linen .
They are then overcome by the need to scream verses from the Bible .
A procession to one of the city's holy places is followed by them delivering a 'sermon' in public .",,,,,,,,,,,,,,,,
7120,322ac8a77f084124694daf957e80521458f5f7a0,"A group of eight-year-old children in New Jersey have written letters to convicted cop killer Mumia Abu-Jamal, wishing that he will 'get better soon' while recovering in hospital from a mystery illness after being encouraged by their teacher. The cards have caused outrage and alarm among political commentators, many of whom claim the 60-year-old's illness is a fraud and clamor for attention. Abu-Jamal, who shot Philadelphia police officer Daniel Faulkner in cold blood in 1981, was taken to hospital on April 2 after collapsing in the bathroom of the State Correctional Institution at Mahanoy. But this week he was delivered two batches of letters - one from a third grade class in Orange, New Jersey and another from high school students in the Philadelphia Student Union. 'Get well soon': Third graders in Orange, New Jersey, and high school students in the Philadelphia Student Union have sent Mumia Abu-Jamal letters wishing him well after he was hospitalized last week . Delivery: Johanna Fernandez (right), a professor of history at Baruch College, delivered Mumia Abu-Jamal a batch of letters from two different schools in hospital. He is pictured here also with (from left) Abdu Jon and Pam Africa . Ill: Mumia's supporters say photos of the prison journalist released this week by his wife show how ill and frail he is. Untreated diabetes is said to be the reason for Abu-Jama's hospitalization last week . The letters were delivered by Johanna Fernandez, a professor of history at Baruch College, according to Education Action Group News. 'We shared a touching moment with Mumia in an effort to raise his spirits,' Fernandez reported. 'Two teachers delivered letters to us that their students had written to Mumia.' 'It had been a long time since we had seen Mumia smile. 'He chuckled as he read excerpts from these touching letters.' The letters themselves or what they said were not released. However the fact they were written and then sent has infuriated many. Richard Costello, political coordinator for the Philadelphia Fraternal Order of Police, said the letters set a dangerous example. 'I think its both alarming and outrageous that any teacher would use a group of innocent seven-year-olds to promote a twisted agenda glorifying murder, glorifying hatred and glorifying violence,' Costello told Fox News. 'He shot (the officer) in the back and then as the officer lay slumped against a wall helpless he leaned over and shot him between the eyes. 'When he was in the hospital he actually bragged about it.' Controversial: Marylin Zunig, a teacher at Forest Street School in Orange, New Jersey, had her third graders wrote letters to Mumia Abu-Jamal. The letters have subsequently sparked outrage . Costello said all the teachers involved in the letter writing campaign should be fired. 'Furthermore all the parents who have children in that school system need to reevaluate that involvement, because these children are now placed in danger by the very people charged with their education,' Costello said. 'They are being used as tools in someone's twisted agenda.' Costello has previously described Abu-Jamal as 'the devil'. The official reason the convicted killer was hospitalized has not been released. However reports say he was suffering high blood sugar levels. Attorney Bret Grote with the Pittsburgh-based Abolitionist Law Center said last week that his client was placed in the critical care unit of Schuylkill Medical Center in Pottsville, Pennsylvania. Grote says neither he nor Abu-Jamal's brother, Keith Cook, had been allowed in to see him. 'We're concerned, about as concerned as it gets, about Mumia's health,' Grote told the Philadelphia Inquirer. Hospitalized: Convicted cop killer Mumia Abu-Jamal was placed in the critical care unit of a Pennsylvania hospital last week after collapsing in prison . A Pennsylvania Department of Corrections official also declined to provide details. A spokesman for Pottsville's Schuylkill Medical Center says he had no information about Abu-Jamal. 'We never discuss an inmate's medical condition,' deputy press secretary Susan Bensinger told the Inquirer. Mumia's hospitalization was revealed Monday when a group of his friends arrived to the State Correctional Institution at Mahanoy for a visit and were informed by prison staff that he wasn't there. While Grote and others had permission with the prison to visit Mumia, the hospital had not yet cleared them. Grote said he hoped the matter would be cleared up by Tuesday. Abu-Jamal is a former Black Panther serving life in prison for the 1981 murder of white Philadelphia police Officer Daniel Faulkner. Treated: Lawyers with Pittsburgh-based Abolitionist Law Center say prison officials told them their client was being treated at Pottsville's Schuylkill Medical Center . His conviction was upheld through years of appeals, but he has gained international support for his claim that he's the victim of a racist justice system. Mumia's death sentence was overturned in 2012. Abu-Jamal supporters include celebrities like Whoopi Goldberg, and many hail him as a revolutionary. Abu-Jamal has written several books, hosted his own radio show and even has a street named after him in France. Mumia Abu-Jamal (left) is a former Black Panther serving life in prison for the 1981 murder of white Philadelphia police Officer Daniel Faulkner (right). His conviction was upheld through years of appeals, but his death sentence was converted to life in prison in 2012 .","Former Black Panther Mumia Abu-Jamal was hospitalized at Schuykill Medical Center in Pennsylvania on April 2 after collapsing in prison .
He was delivered 'get well' letters from third graders in Orange, New Jersey, and high school students in the Philadelphia Student Union .
The letters made Mumia 'chuckle and smile'
Critics say they 'promote a twisted agenda glorifying murder and hatred'
Mumia is serving a life sentence after years of appeals won him a reprieve from his death sentence in 2012 .",,,,,,,,,,,,,,,,
3441,cc6d8b09daea38bbd1421ed3a7b16089d95d7a09,"This is the dramatic moments armed police swoop on a villa where a Briton linked to the gangland murder of a torture victim was arrested. Paul Monk, 54, from Essex, was wanted by Spanish police for questioning over the kidnap and murder of Francis Brennan, whose badly decomposed body washed up on a Costa Blanca beach in March last year. He was also wanted by the Metropolitan Police on drug offences and had been named on a list of fugitives published as part of the National Crime Agency's Operation Captura campaign ahead of his detention. This is the dramatic moment that fugitive Paul Monk was arrested by heavily armed police in his Alicante villa . Paul Monk, 54, from Essex, was wanted by Spanish police for questioning over the kidnap and murder of Francis Brennan . Spanish police released footage of their dramatic swoop. This grab for the video shows them approaching the villa at speed . The police move steathily up the steps of Monk's villa, weapons drawn . Taking no chances: The highly trained, well-armed police moved through the house room by room . Paul Monk was on the UK's most wanted list on suspicion of drug trafficking . Brennan, 25, from Liverpool, vanished in the resort of Javea in January last year after being kidnapped by men posing as police. His body was wrapped in an industrial-size bin bag with duct tape round it when it appeared on a beach in nearby Orihuela Costa. Civil Guard officers in Alicante confirmed today they believe Monk, from Essex, may be implicated in the violent death and named him as an associate of Paul Scott. Scott, 32, was arrested on a charge of conspiracy to import cocaine after being caught trying to sneak into Britain in a light aircraft last December. He was also wanted for questioning over Mr Brennan's murder when he was detained. Guardia Civil described him last night as the suspected mastermind of the crime. Monk was detained at a four-bedroom property in Javea near Alicante as he directed workers laying a marble patio around his swimming pool. An imitation firearm with a silencer and nearly £100,000 in cash were also found. He is being held in jail and is expected to be charged and face trial in Spain over Mr Brennan's murder before being extradited to the UK to face questioning over alleged drugs offences. He has been linked to the handover of one kilo of cocaine in Cockfosters, London, in May 2013 and the seizure of 24 kilos of cannabis in Colchester in October 2013. A Civil Guard spokesman said: 'He never left his house as a security measure to avoid being arrested. 'He got other people to bring him food and other things in the villa where he hid out, leading the life of an authentic fugitive.' The police raid had air support, with this grab coming from footage of Monk's villa taken by a helicopter . Wads of money found by armed police after they arrested Monk . Monk is being held in jail and is expected to be charged and face trial in Spain over Mr Brennan's murder before being extradited to the UK to face questioning over alleged drugs offences . Spanish police search Monk's property thoroughly for evidence, finding an imitation gun with a silencer . National Crime Agency detectives took part in the raid on the property along with Civil Guard officers. Mr Brennan, from Liverpool, was himself on the run after leaving Britain while awaiting sentence in the UK over the wounding of a man at a Swedish House Mafia music concert in Milton Keynes, Bedfordshire. He travelled to the Costa del Sol with his girlfriend towards the end of 2013 after ignoring the advice of his parents to stay in Britain. Police swooped on Scott last year after he flew from Holland to a remote airstrip in Norfolk. He had fake Belgian identity documents on him and more than £1,500 in cash. He was jailed in January for plotting to import 40 tonnes of cocaine into Britain. Police described him as the 'last man outstanding in a criminal gang that plotted to smuggle vast quantities of cocaine into the UK' after he was sentenced to 14 years in prison at Liverpool Crown Court. Sorry we are not currently accepting comments on this article.","Paul Monk, 54, was wanted by Spanish police in connection with a murder .
The Essex man is a suspect in the murder of Francis Brennan .
Brennan's body washed up on a Costa Blanca beach in March last year .
Police released footage of their swoop on Monk's Alicante villa .",,,,,,,,,,,,,,,,
7776,5bc6298ee39eebe5d8f19e5f015c1180535b6100,"Two jihadi brides have escaped from Islamic State's female police force and revealed the horrifying punishments they used to inflict on other women. Doaa and Umm, whose names have been changed to conceal their identities, were smuggled from Raqqa, in Syria, to southern Turkey after leaving the al-Khansa Brigade earlier this year. The pair said they used to be heavily involved in punishing others who did not obey the group's rules - including giving 60 lashes to those who tried to flee. Scroll down for video . Doaa and Umm (above), whose names have been changed to conceal their identities have revealed what life was like working for the brutal al-Khansa Brigade . In an interview with Sky News Doaa, who left after her Saudi Arabian husband blew himself up in a suicide attack, said women also received a 'standard' 40 lashes if they did not wear proper Islamic dress. The 20-year-old, who was paid around £70 a month by the unit, said: 'What upset me most was lashing old women when they weren't wearing the proper clothes.' Umma, 25, was forced to marry a foreign fighter. She said did not see him very much as he was often on the front line. 'Most of the time I would stay at my parents' house because he wasn't around. He behaved normally, he would come home for two or three days and then go back to fight,' she said, adding that she did not love him. Now the pair, who are living in Turkey illegally, are scared they will be discovered by ISIS fighters who, they believe, are following them. The al-Khansa Brigade operates as an ultra-oppressive police force monitoring the behaviour of females in Raqqa. The women revealed they used to be heavily involved in punishing others who did not obey the group's rules - including those who tried to escape. Above, one of the women shows a picture of herself holding a gun . The al-Khansa Brigade operates as an ultra-oppressive police force monitoring the behaviour of females in Raqqa. Above, other women from the brigade are pictured holding guns . It achieved notoriety last year after women who travelled to join the Islamic State's insurgency boasted of joining the police unit. They used social media to brag about doling out savage beatings and lashings, ordering executions and managing brothels where thousands of sex slaves are believed to be imprisoned and raped daily. In the brigade's first manifesto, released in February, women are told to live a completely 'sedentary' lifestyle. It adds that their role should be primarily to remain 'hidden and veiled' and at the service of men, who are described as their masters. While it claims not to have been written or approved by ISIS's leadership, it provides a disturbing look at the way women are treated. Last September a Syrian woman agreed to carry a hidden camera to film daily life in Raqqa. Her footage showed several gun-wielding French women who had left their home country to join ISIS (above) The women's revelations come a day after a shocking new video appearing to show at least 30 Christians being beheaded and shot by ISIS in Libya was released. The 29-minute video, titled 'Until It Came To Them - Clear Evidence', showed dozens of militants holding two separate groups captive, thought to be in the south and the east of the country. At least 16 men, described by Islamic State as the 'followers of the cross from the enemy Ethiopian Church', were lined up and shot in a desert area while 12 others were filmed being forced to walk down a beach before being beheaded. It followed another video in February of the beheading of a group of 21 Coptic Christians on the beach in Libya, though that terrain was rockier than the one shown in the latest film.","Doaa and Umm were smuggled from Raqqa, in Syria, to southern Turkey .
Both used to work for the group's female police unit, the al-Khansa Brigade .
Women reveal the different levels of punishment given out by the unit .
They believe they have been followed by ISIS fighters since escaping .",,,,,,,,,,,,,,,,
411,afb9cbf340f4faecd3c4e14b741be84b55212c96,"EA Sports have revealed the first gameplay details for their latest golf game EA Sports Rory McIlroy PGA Tour which is due out in July. McIlroy replaced Tiger Woods as the cover star for EA Sports PGA Tour video games this year. The latest version of the long-running game series, due out on July 16, features a number of new features, including various gameplay styles as well as enhanced ball physics. EA Sports' new game Rory McIlroy PGA Tour is due out in the shops on July 16 . Courses, such as TPC Sawgrass (pictured),  also affect how your shots are played . A shot of the Wolf Creek Golf Club in Las Vegas which is featured in the new game . The game offers offers multiple ways to play, including arcade controls where the left stick is used to control power and accuracy with the ability to add spin to the shot while the ball is in the air. Fans can also mix and match all three settings to create their own custom gameplay style. Courses themselves also affect how your shots are played. Firmer, links-style courses like St Andrews will provide more bounce and roll, while softer courses such as TPC Sawgrass will have less bounce and be more receptive to spin. EA SPORTS Rory McIlroy PGA TOUR will be available for Xbox One and PS4 on July 16, 2015. Pre-order now at easports.com.","Rory McIlroy will be on the front cover of EA Sports' PGA Tour 2015 game .
The game offers multiple ways to play, including arcade controls .
Fans can create their own custom gameplay style .",,,,,,,,,,,,,,,,
4155,5acf7aba8351c994330eb88699e3bee8c43fab21,"Dawn Milosky has been charged with driving while intoxicated and having an open container of alcohol in the vehicle . A New Jersey woman is lucky to be alive after being rescued from her overturned vehicle just as it started to catch fire. Dashcam footage shows police in the borough of Kinnelon race to the incident just after 6 p.m. on Thursday following a tip-off about someone driving erratically in the local area. When officers Mark Ehrenberg and Ricky Ferriola arrived on scene, smoke was already coming out of the woman's white 2006 Toyota Solara convertible, which had been turned upside down. The vehicle's horn was honking but when one of the officers ran over and shouted at the driver, it was apparant that she has been knocked out in the crash. With smoke already coming from the vehicle the officers had to act fast to get the injured woman free. It took two minutes for the cops to cut the woman from her seat belt and pull her limp body from the wreckage. About 30 seconds later the flames are visible, and one of the officers can be heard trying to revive the woman, who is now safely on the other side of the road. Dashcam footage shows police in the borough of Kinnelon race to the incident just after 6 p.m. on Thursday following a tip-off about someone driving erratically in the local area . Just 2 minutes and 30 seconds after the officers had removed the woman from the wreckage the vehicle became engulfed in flames. The woman pulled from the wreck had to be hooked up to a defibrillator at the scene and CPR was administered, reports WPIX. She has been identified as Dawn Milosky, 45, of Beachwood, N.J. Milosky has been charged with driving while intoxicated, having an open container of alcohol in the vehicle, reckless driving and for failure to stay in the right lane. She was airlifted  to Morristown Medical Center, but police say she is now doing okay. The woman they pulled from the wreck has been identified as Dawn Milosky, 45, of Beachwood, New Jersey . Just 2 minutes and 30 seconds after the officers had removed the woman from the wreckage the vehicle became engulfed in flames .","Police in Kinnelon, New Jersey, rushed to the crash scene after a tip-off about someone driving erratically in the local area .
With smoke already coming from the vehicle the officers had to act fast to get the injured woman free .
Just 2 minutes and 30 seconds after the officers had removed the woman from the wreckage the vehicle became engulfed in flames .
Dawn Milosky, 45, has been charged with driving while intoxicated and having an open container of alcohol in the vehicle .",,,,,,,,,,,,,,,,
4526,2fd325b6a95bf30d46408fc5ad14d6e67ecb3249,"(CNN)With help from some filmmakers, 102-year-old Alice Barker went back in time. Barker was a dancer in such New York nightspots as the Cotton Club and the Cafe Zanzibar in the 1930s and 1940s, part of chorus lines that entertained alongside notables including Bill ""Bojangles"" Robinson and Frank Sinatra. There were motion pictures made of Barker, but she had never seen any of them. Moreover, her photographs and memorabilia had all been lost over the years. So she had never seen herself actually dancing -- until now. Mark Cantor of jazz-on-film.com and some volunteers put together a video of ""soundies"" -- early music videos -- and showed them to Barker at the nursing home where she lives. The ageless dancer was delighted. ""It's just fabulous,"" she said.","Alice Barker was a dancer in the 1930s and '40s .
Thanks to filmmakers, Barker -- now 102 -- finally saw herself dance .",,,,,,,,,,,,,,,,
4412,51f2391f2874ba47d23752f9dbbe909bb2c0b69d,"The parents of a newborn baby girl have spoken of their heartbreak after  she was born without any eyes. Mother-of-three Danielle Davis, 24, refused a termination when a routine scan showed her baby had a cyst on the brain. But when Daisy was born, Ms Davis and her partner Andrew Smith, 31, were told she had the rare disorder Anophthalmia, meaning she had no eyes. The condition is incurable, and so while Daisy can be fitted with glass eyes as she gets older, she will never be able to see. Danielle Davis, 24, has told of her heartbreak as her daughter Daisy, now eight weeks old, was born without any eyes . Daisy suffers from Anopthalmia, a rare condition which means 'lack of eyes'. Daisy will never be able to see, but some children with the disease have prosthetic eyes fitted for cosmetic reasons . Ms Davis refused a termination when a scan revealed a brain cyst, and says she 'has no regrets'. Daisy is now at home enjoying time with her mother Danielle, father Andrew, 31, and siblings Logan, six, and Tyler, four . Ms Davis, a care worker from Cwmbran, South Wales, said: 'It was a shock - we had never heard of it before and neither had any of our friends or family. 'People didn't really know what to say when we told them. 'But she is our gorgeous baby and we have no regrets about turning down a termination. 'We want to give Daisy as normal a life as possible and give her the same opportunities as other children.' Anophthalmia is a rare disease in which a baby is born with no eyes. It develops during pregnancy, and affects around one in 10,000 births in the UK. There is sadly no cure. Ms Davis said: 'The cyst showed up on the 21-week scan and naturally, we were worried about it. Anophthalmia means an absence of the eye. A child may be born with one, or both eyes, missing from the eye socket. The rare disorder develops during pregnancy and can be associated with other birth defects. The condition may be caused by genetic mutations and abnormal chromosomes. Researchers also believe that environmental factors, such as exposure to X-rays, chemicals, drugs, pesticides, toxins, radiation, or viruses, increase the risk of anophthalmia, but research is not conclusive. Unfortunately, there is no treatment that will restore vision in children affected by Anophthalmia. Children will need to undergo repeated hospital visits and many have prosthetic eyes to ensure that the bone and soft tissue around the eye socket grows properly and to improve appearance. Source: The Micro and Anopthalmic Children's Society . 'But none of the doctors said our baby could be born blind. 'Everyone has been really supportive and I can't thank the doctors and midwives enough for all of their help.' Daisy, now eight weeks old, is settling in at home with her siblings Logan, six, and Tyler, four. She will be admitted to the Great Ormond Street Hospital later this month for an operation to fit glass eyes. They will be replaced when she is 18-months-old with painted eyes that will look more natural. Her parents are now planning a 12,000 ft skydive to raise funds for the charity RNIB that supports people with sight loss. The couple also want to raise awareness of the condition. Ms Davis said: 'I hope that by raising awareness other parents to be won't experience the same shock that we did if their child has the condition.' The news comes after MailOnline reported on the story of baby Richie, who was also born without eyes, in January. Staff at Arizona's Banner Desert Medical Center initially thought  Richie's face was swollen at birth. But they were stunned to discover the reason his eyelids would not open was because he had anolpthalmia. Richie's mother Kelly Lopez, from Mesa, Arizona, is optimistic that science will progress enough to help Richie see in his lifetime. Baby Richie Lopez was born with Anopthalmia in January. Doctors initially thought his face was just swollen .","A routine scan showed Danielle Davis' baby had a cyst on her brain .
She refused a termination, but baby Daisy was later born with no eyes .
Suffers from rare condition called Anopthalmia, meaning a lack of eyes .
Daisy will never be able to see, but cosmetic glass eyes could be fitted .",,,,,,,,,,,,,,,,
7390,0c5ec67f7b1d7a2fdb0a3f3ffb8263d8d9ddf872,"(CNN)Most companies in South Korea have hoesik at least once a month and sometimes every week. Literally, this means dinner with co-workers. In practice, it means official eating/drinking fests involving multiple rounds of alcohol at multiple venues. For the foreign business traveler, using foreignness as an excuse to bow out of the action only goes so far. The pressure to participate is intense. Drinking etiquette is the first thing you teach foreign guests,"" says Bryan Do, a Korean-American director at the South Korean branch of a U.S. company. ""It was shocking when I first arrived in Korea. ""My boss was a graduate of Korea University [renowned for its hardy drinking culture] and at my first hoesik, we started out with everyone filling a beer glass with soju, and downing it on the spot. That was just the beginning."" For Koreans, drinking is considered a way to get to know what someone is really like. ""I didn't really like it in the beginning,"" says Charles Lee, a Korean-Canadian who came to Seoul to work for a South Korean company. ""I was like, 'Why are you making me drink something when I don't want to?' But once I understood the meaning behind it, I appreciated it more. ""There are just some things you can't say at work or talk about over lunch -- people who talk about work at lunch are losers. But when someone offers you a glass of soju, it's an invitation that means that they want to listen to you. ""I thought Koreans were impersonal before I drank with them, so the whole context is important."" Drinking is such a big part of Korean life that Seoul traffic is said to correspond with the city's drinking culture. Mondays are a big night for hoesik, so there are fewer cars during evening rush hour, as most office workers leave them at work so they can go drinking. Tuesdays are a rest day, while Wednesday and Thursday nights are also big nights for company drinking. Fridays have the worst evening traffic, as everyone is taking their cars home to use with their families over the weekend. So how do you avoid offending someone (worst of all, a superior or client) at a Korean drinking extravaganza? Follow these seven handy rules. Koreans always identify the ""higher"" person in the relationship, and defer to them accordingly. One of the first things Koreans often ask when meeting someone new is their age. Even someone just a year older is afforded a language of respect, though age is always superseded by a higher position. It's considered rude for anyone to have an empty glass. If a senior person is pouring -- this usually pertains to hard liquor only -- others shouldn't drink until someone has poured the senior a shot. After all glasses are full, everyone says ""Gunbae!"" and chugs -- usually ""one-shotting"" the entire glass in one go. While downing alcohol, you should turn your body away from senior figures so that your body visually blocks your drinking action from your senior. Always hold bottles or shot glasses with both hands. By raising your glass or pouring alcohol with one hand, you are establishing yourself as a senior person. If you're not, well, you've just breached protocol. It's always a good idea to find out people's drinking habits beforehand. It shouldn't be difficult to find out what people like to drink or how they behave when intoxicated. Hoesik usually involves changing venues for a different type of alcohol -- i.e., round one is dinner, accompanied by beer, round two is soju, round three is for whiskey, and so on. Be ready for each. Unless you have an airtight reason, refusing alcohol is considered a mood killer and deemed rude. Sorry, but ""I don't like soju"" doesn't qualify as a good reason not to punish your liver. Neither would ""I've been on the wagon for three years."" In fact, unless you're pregnant or already puking, what might be a ""good reason"" not to imbibe elsewhere often won't fly here. It's generally best to accept and discreetly get rid of unwanted alcohol (under the table, into your water cup, out the window) than to refuse it. One of the most popular venues in Korea for business drinking is the karaoke bar. Koreans love singing, as evidenced by the country's staggering number of karaoke bars, as well as the rush of audition programs on Korean television. Your companions won't rest until you sing. They'll coax, threaten, push and cajole until you finally take that mic. Be prepared to crack under the immense peer pressure. If you simply cannot take any more, you can call a black knight (male) or a black rose (female) to your rescue. This entails a person of your choosing drinking your glass for you, but it also means they get a wish. As in, you might soon wish you'd just taken that last shot as you're spelling your name out with your butt in front of your client. Bottoms up. Christopher Cha is a Korean-American writer based in Seoul.","Hoesik is the Korean tradition of eating and drinking together .
Anthony Bourdain travels to Korea for the season five premiere of ""Parts Unknown""",,,,,,,,,,,,,,,,
